timestamp_ns,src_ip,src_port,dst_ip,dst_port,proto,pkt_id,predicted_label,infer_latency_us,total_latency_us
612426579639277,10.3.155.28,43806,20.0.1.127,43806,17,1,VOIP,123916.497,130018.532
612426710141525,10.3.160.96,45154,20.0.0.237,45154,17,1,VOIP,122094.002,128262.98
612426843481496,10.3.165.120,46458,20.0.1.6,46458,17,1,VOIP,124130.791,131097.536
612426974794882,10.3.170.139,47757,20.0.0.121,47757,17,1,VOIP,122802.363,129011.655
612427109822054,10.3.175.229,49127,20.0.0.201,49127,17,1,VOIP,126532.705,132740.053
612427242788438,10.3.181.20,50454,20.0.0.107,50454,17,1,VOIP,124583.822,130729.541
612427369331309,10.3.186.24,51738,20.0.0.64,51738,17,1,VOIP,118174.199,124263.789
612427498431427,10.3.191.24,53018,20.0.1.167,53018,17,1,VOIP,120742.555,126905.312
612427630346768,10.3.196.71,54345,20.0.1.111,54345,17,1,VOIP,123572.094,129667.722
612427761257529,10.3.201.103,55657,20.0.0.209,55657,17,1,VOIP,122513.089,128679.549
612427894154709,10.3.206.123,56957,20.0.0.233,56957,17,1,VOIP,123739.944,130719.43
612428027181111,10.3.211.165,58279,20.0.1.155,58279,17,1,VOIP,124571.322,130739.486
612428157026478,10.3.216.236,59630,20.0.0.246,59630,17,1,VOIP,121345.863,127580.433
612428289980250,10.3.221.243,60917,20.0.0.91,60917,17,1,VOIP,124581.712,130786.096
612428419779063,10.3.227.19,62229,20.0.0.121,62229,17,1,VOIP,121487.287,127545.452
612428550990820,10.3.232.3,63493,20.0.1.178,63493,17,1,VOIP,122643.847,128965.712
612428681056888,10.3.237.21,64791,20.0.0.185,64791,17,1,VOIP,120939.145,127781.412
612428812275479,10.3.242.70,1609,20.0.0.206,1609,17,1,VOIP,122708.439,128982.323
612428941032841,10.3.247.90,2909,20.0.0.85,2909,17,1,VOIP,119508.886,126556.353
612429075870164,10.3.252.116,4215,20.0.1.38,4215,17,1,VOIP,126165.617,132425.909
612429206326190,10.4.1.142,5521,20.0.1.177,5521,17,1,VOIP,121839.931,128146.87
612429334770427,10.4.6.139,6798,20.0.0.244,6798,17,1,VOIP,120018.546,126200.043
612429472726229,10.4.11.169,8108,20.0.0.195,8108,17,1,VOIP,128915.008,135711.738
612429603318512,10.4.16.229,9448,20.0.0.212,9448,17,1,VOIP,121585.064,128372.682
612429734192848,10.4.22.2,10757,20.0.0.123,10757,17,1,VOIP,121856.875,128625.845
612429866521258,10.4.27.20,12055,20.0.0.227,12055,17,1,VOIP,123944.145,130074.753
612429999032555,10.4.32.44,13359,20.0.0.131,13359,17,1,VOIP,123262.95,130277.158
612430130948136,10.4.37.101,14696,20.0.0.226,14696,17,1,VOIP,123488.429,129606.37
612430261621641,10.4.42.92,15967,20.0.0.254,15967,17,1,VOIP,122233.555,128405.292
612430391271844,10.4.47.95,17250,20.0.0.244,17250,17,1,VOIP,120685.056,127424.508
612430523081242,10.4.52.143,18578,20.0.1.10,18578,17,1,VOIP,122845.64,129591.629
612430651016837,10.4.57.195,19910,20.0.1.34,19910,17,1,VOIP,119466.701,125674.882
612430782265761,10.4.62.238,21233,20.0.0.120,21233,17,1,VOIP,122685.587,128895.028
612430912924358,10.4.68.7,22538,20.0.0.245,22538,17,1,VOIP,122295.203,128408.977
612431044053987,10.4.73.61,23872,20.0.0.142,23872,17,1,VOIP,121887.356,128937.008
612431173345991,10.4.78.94,25185,20.0.0.118,25185,17,1,VOIP,120799.0,127012.792
612431306085377,10.4.83.164,26535,20.0.0.62,26535,17,1,VOIP,123620.557,130497.562
612431440587427,10.4.88.214,27865,20.0.0.181,27865,17,1,VOIP,125403.071,132232.523
612431576349145,10.4.93.199,29130,20.0.0.97,29130,17,1,VOIP,126466.521,133369.323
612431708918626,10.4.98.210,30421,20.0.1.112,30421,17,1,VOIP,123960.608,130356.175
612431836644187,10.4.103.249,31740,20.0.1.180,31740,17,1,VOIP,119304.129,125507.033
612431967216952,10.4.109.22,33049,20.0.0.176,33049,17,1,VOIP,122069.853,128375.034
612432097344130,10.4.114.71,34378,20.0.1.184,34378,17,1,VOIP,120294.024,127902.761
612432226243935,10.4.119.122,35709,20.0.0.56,35709,17,1,VOIP,120384.875,126618.629
612432355563328,10.4.124.140,37007,20.0.0.169,37007,17,1,VOIP,120925.535,127045.569
612432491471230,10.4.129.189,38336,20.0.1.36,38336,17,1,VOIP,126703.851,133630.875
612432620934009,10.4.134.208,39635,20.0.0.122,39635,17,1,VOIP,121002.534,127195.752
612432754143723,10.4.139.240,40947,20.0.1.127,40947,17,1,VOIP,124812.042,131004.649
612432883225303,10.4.145.4,42247,20.0.0.80,42247,17,1,VOIP,120615.372,126841.757
612433016463443,10.4.150.36,43559,20.0.1.33,43559,17,1,VOIP,124809.819,131004.39
612433148422598,10.4.155.44,44847,20.0.1.88,44847,17,1,VOIP,122605.477,129753.109
612433283158126,10.4.160.113,46196,20.0.1.35,46196,17,1,VOIP,126218.931,132442.946
612433413083270,10.4.165.137,47500,20.0.0.176,47500,17,1,VOIP,121454.954,127658.173
612433548255644,10.4.170.141,48784,20.0.1.186,48784,17,1,VOIP,126730.592,132921.254
612433675086290,10.4.175.241,50164,20.0.1.96,50164,17,1,VOIP,118428.567,124624.34
612433808779238,10.4.181.11,51470,20.0.0.158,51470,17,1,VOIP,124157.068,131446.162
612433941215573,10.4.186.40,52779,20.0.0.190,52779,17,1,VOIP,123297.172,130240.622
612434070435263,10.4.191.83,54102,20.0.0.128,54102,17,1,VOIP,120777.833,126990.311
612434199943097,10.4.196.128,55427,20.0.0.93,55427,17,1,VOIP,120265.95,127256.326
612434329931740,10.4.201.167,56746,20.0.0.94,56746,17,1,VOIP,121481.38,127707.82
612434463566504,10.4.206.194,58053,20.0.0.184,58053,17,1,VOIP,124592.211,131203.646
612434598026035,10.4.211.210,59349,20.0.0.193,59349,17,1,VOIP,125761.086,132008.284
612434725425674,10.4.216.249,60668,20.0.0.103,60668,17,1,VOIP,118993.448,125148.704
612434856516007,10.4.221.248,61947,20.0.1.4,61947,17,1,VOIP,122618.31,128881.25
612434986619834,10.4.227.24,63259,20.0.0.238,63259,17,1,VOIP,121635.155,127887.966
612435117529225,10.4.232.51,64566,20.0.0.212,64566,17,1,VOIP,122548.237,128671.697
612435248348450,10.4.237.82,1366,20.0.1.10,1366,17,1,VOIP,121564.249,128629.253
612435381046577,10.4.242.95,2659,20.0.0.97,2659,17,1,VOIP,124135.957,130429.656
612435513820908,10.4.247.143,3987,20.0.0.164,3987,17,1,VOIP,124332.159,130554.525
612435642956469,10.4.252.208,5332,20.0.0.209,5332,17,1,VOIP,120729.111,126887.33
612435775535968,10.5.2.29,6689,20.0.0.172,6689,17,1,VOIP,124049.847,130297.657
612435904741306,10.5.7.75,8015,20.0.0.73,8015,17,1,VOIP,120778.203,126970.681
612436032674735,10.5.12.72,9292,20.0.1.38,9292,17,1,VOIP,119523.682,125738.882
612436165240234,10.5.17.98,10598,20.0.1.38,10598,17,1,VOIP,124136.328,130356.138
612436296869894,10.5.22.119,11899,20.0.0.180,11899,17,1,VOIP,122399.591,129436.724
612436425810143,10.5.27.128,13188,20.0.0.209,13188,17,1,VOIP,120443.781,126692.129
612436555736157,10.5.32.141,14481,20.0.1.10,14481,17,1,VOIP,121598.342,127681.061
612436685977112,10.5.37.221,15841,20.0.0.246,15841,17,1,VOIP,121738.691,128002.02
612436818052321,10.5.42.235,17135,20.0.0.247,17135,17,1,VOIP,123682.223,129810.423
612436949433484,10.5.48.31,18467,20.0.0.190,18467,17,1,VOIP,121423.455,129116.876
612437078537009,10.5.53.42,19758,20.0.1.95,19758,17,1,VOIP,120691.389,126906.386
